match_id,season,gameweek,home_team,away_team,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
9709,2024/25,33.0,stade-brestois,lille-osc,1.4,1.6,2.2,1.6,2.2,0.0,0,2.0,1.8,1.0,1.8,1.0,0.0,0,0.2262,0.2611,0.5682,H
9710,2024/25,33.0,le-havre,olympique-de-marseille,1.4,1.4,1.8,1.4,1.8,0.0,0,2.0,2.6,1.6,2.6,1.6,73.85,58850000,0.1689,0.2198,0.6667,A
9711,2024/25,33.0,as-monaco,olympique-lyonnais,1.6,1.6,0.8,1.6,0.8,73.63,257100000,1.8,2.2,1.4,2.2,1.4,72.74,89500000,0.5495,0.237,0.2688,H
9712,2024/25,33.0,montpellier-hsc,paris-saint-germain,0.2,0.2,2.0,0.2,2.0,0.0,0,1.4,1.2,1.4,1.2,1.4,0.0,0,0.1015,0.1441,0.813,A
9713,2024/25,33.0,stade-de-reims,saint-etienne,1.4,0.6,0.4,0.6,0.4,69.92,48600000,0.8,1.4,2.2,1.4,2.2,0.0,0,0.4808,0.2703,0.3021,A
9714,2024/25,33.0,stade-rennais,ogc-nice,1.2,1.8,1.8,1.8,1.8,73.39,253175000,2.0,1.8,1.2,1.8,1.2,73.28,89200000,0.2801,0.2695,0.5051,H
9715,2024/25,33.0,toulouse-fc,rc-lens,0.8,1.0,1.4,1.0,1.4,68.76,60900000,1.8,1.2,1.6,1.2,1.6,72.84,82750000,0.4425,0.2857,0.3268,D
9716,2024/25,34.0,ogc-nice,stade-brestois,2.0,1.6,1.2,1.6,1.2,73.28,89200000,1.4,1.6,2.0,1.6,2.0,0.0,0,0.6803,0.2101,0.1642,H
9717,2024/25,34.0,paris-saint-germain,aja-auxerre,1.4,1.8,1.6,1.8,1.6,0.0,0,0.8,1.6,1.8,1.6,1.8,0.0,0,0.8403,0.1309,0.0815,H
9718,2024/25,34.0,saint-etienne,toulouse-fc,1.4,1.8,2.0,1.8,2.0,0.0,0,1.0,0.8,1.0,0.8,1.0,68.76,60900000,0.4926,0.2463,0.3145,A
9719,2024/25,34.0,rc-lens,as-monaco,1.4,1.2,1.8,1.2,1.8,72.84,82750000,2.2,1.8,0.4,1.8,0.4,73.63,257100000,0.2545,0.2532,0.5464,H
9720,2024/25,34.0,lille-osc,stade-de-reims,2.0,1.6,1.0,1.6,1.0,0.0,0,1.4,0.6,0.6,0.6,0.6,69.92,48600000,0.7246,0.2066,0.1264,H
9721,2024/25,34.0,olympique-lyonnais,angers-sco,1.2,1.8,1.6,1.8,1.6,72.74,89500000,1.8,1.2,1.0,1.2,1.0,0.0,0,0.7874,0.1645,0.1059,H
9722,2024/25,34.0,olympique-de-marseille,stade-rennais,2.0,2.6,1.4,2.6,1.4,73.85,58850000,1.8,2.2,1.6,2.2,1.6,73.39,253175000,0.5618,0.2475,0.2469,H
9723,2024/25,34.0,fc-nantes,montpellier-hsc,0.6,0.6,1.0,0.6,1.0,69.58,54600000,0.2,0.4,2.4,0.4,2.4,0.0,0,0.6579,0.2294,0.1709,H
9724,2024/25,34.0,rc-strasbourg,le-havre,1.6,1.6,1.2,1.6,1.2,69.0,72100000,0.8,1.2,2.4,1.2,2.4,0.0,0,0.641,0.2151,0.1984,A
