match_id,season,gameweek,status,home_team,away_team,home_elo,away_elo,elo_diff,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
29,1999/00,,finished,rc-strasbourg,paris-saint-germain,1541.4,1553.8,-12.399999999999864,1.4,1.4,1.6,1.4,1.6,69.0,72100000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,D
30,1999/00,,finished,olympique-lyonnais,rc-strasbourg,1564.9,1542.0,22.90000000000009,2.0,2.0,1.4,2.0,1.4,72.74,89500000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,D
31,1999/00,,finished,fc-metz,fc-nantes,1477.1,1499.7,-22.600000000000136,0.0,0.0,0.0,0.0,0.0,67.29,41450000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,H
32,1999/00,,finished,paris-saint-germain,as-monaco,1553.3,1466.7,86.59999999999991,2.4,2.0,0.4,2.0,0.4,0.0,0,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,A
33,1999/00,,finished,stade-rennais,olympique-de-marseille,1474.0,1459.7,14.299999999999955,2.4,2.6,1.8,2.6,1.8,73.39,253175000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,A
34,1999/00,,finished,olympique-de-marseille,fc-metz,1476.3,1494.2,-17.90000000000009,0.8,0.8,1.6,0.8,1.6,73.85,58850000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,D
35,1999/00,,finished,aj-auxerre,rc-lens,1491.1,1501.4,-10.300000000000182,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
36,1999/00,,finished,as-monaco,olympique-lyonnais,1486.6,1563.8,-77.20000000000005,1.6,1.6,1.4,1.6,1.4,73.63,257100000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,H
37,1999/00,,finished,fc-nantes,paris-saint-germain,1482.7,1533.4,-50.700000000000045,0.8,1.0,1.4,1.0,1.4,69.58,54600000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,A
38,1999/00,,finished,olympique-lyonnais,fc-nantes,1544.3,1469.0,75.29999999999995,2.0,2.0,1.4,2.0,1.4,72.74,89500000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,H
39,1999/00,,finished,paris-saint-germain,olympique-de-marseille,1547.1,1477.2,69.89999999999986,2.4,2.0,0.4,2.0,0.4,0.0,0,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,A
40,1999/00,,finished,rc-strasbourg,aj-auxerre,1543.0,1507.6,35.40000000000009,1.4,1.4,1.6,1.4,1.6,69.0,72100000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,A
41,1999/00,,finished,olympique-de-marseille,olympique-lyonnais,1496.3,1556.9,-60.600000000000136,0.8,0.8,1.6,0.8,1.6,73.85,58850000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,A
42,1999/00,,finished,as-monaco,rc-strasbourg,1506.1,1525.4,-19.300000000000182,1.6,1.6,1.4,1.6,1.4,73.63,257100000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
43,1999/00,,finished,fc-nantes,as-monaco,1456.4,1523.0,-66.59999999999991,0.8,1.0,1.4,1.0,1.4,69.58,54600000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,A
44,1999/00,,finished,rc-strasbourg,fc-nantes,1508.5,1443.4,65.09999999999991,1.4,1.4,1.6,1.4,1.6,69.0,72100000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,H
45,1999/00,,finished,olympique-de-marseille,rc-strasbourg,1483.1,1521.5,-38.40000000000009,0.8,0.8,1.6,0.8,1.6,73.85,58850000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
46,1999/00,,finished,rc-lens,stade-rennais,1484.9,1457.4,27.5,1.6,1.6,1.6,1.6,1.6,72.84,82750000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,D
47,1999/00,,finished,fc-metz,rc-lens,1493.3,1483.7,9.599999999999909,0.0,0.0,0.0,0.0,0.0,67.29,41450000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,D
48,1999/00,,finished,as-monaco,olympique-de-marseille,1536.0,1500.9,35.09999999999991,1.6,1.6,1.4,1.6,1.4,73.63,257100000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,D
49,1999/00,,finished,fc-nantes,aj-auxerre,1430.4,1525.2,-94.79999999999995,0.8,1.0,1.4,1.0,1.4,69.58,54600000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,H
50,1999/00,,finished,rc-lens,paris-saint-germain,1484.1,1527.9,-43.80000000000018,1.6,1.6,1.6,1.6,1.6,72.84,82750000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,H
51,1999/00,,finished,olympique-de-marseille,fc-nantes,1502.5,1450.7,51.799999999999955,0.8,0.8,1.6,0.8,1.6,73.85,58850000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,D
52,1999/00,,finished,olympique-lyonnais,rc-lens,1570.1,1502.1,68.0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
53,1999/00,,finished,olympique-de-marseille,aj-auxerre,1500.1,1504.9,-4.800000000000182,0.8,0.8,1.6,0.8,1.6,73.85,58850000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,A
